"image","exec_id","operation","timestamp","packet_size_bytes","service_owner","img_size_mb"
"fedora32",23,"STOP",221,462561,NA,289
"fedora32",23,"STOP",222,367943,"designate",289
"fedora32",23,"STOP",223,471837,"designate",289
"fedora32",23,"STOP",224,266016,NA,289
"fedora32",23,"STOP",225,111142,NA,289
"fedora32",23,"SUSPEND",87,560,"neutron",289
"fedora32",23,"SUSPEND",88,392864,"designate",289
"fedora32",23,"SUSPEND",89,647903,"designate",289
"fedora32",23,"SUSPEND",90,450537,NA,289
"fedora32",23,"SUSPEND",91,582920,NA,289
"fedora32",23,"SUSPEND",92,289599,"designate",289
"fedora32",23,"SUSPEND",93,534843,"designate",289
"fedora32",23,"SUSPEND",94,277115,"neutron",289
"fedora32",23,"SUSPEND",95,123115,"neutron",289
"fedora32",24,"CREATE",1,608610,NA,289
"fedora32",24,"CREATE",2,986345,"designate",289
"fedora32",24,"CREATE",3,640867,NA,289
"fedora32",24,"CREATE",4,523909,NA,289
"fedora32",24,"CREATE",5,678438,"designate",289
"fedora32",24,"CREATE",6,216694768,"designate",289
"fedora32",24,"CREATE",7,87880357,"glance",289
"fedora32",24,"CREATE",8,268360,"designate",289
"fedora32",24,"CREATE",9,488928,NA,289
"fedora32",24,"CREATE",10,785010,"neutron",289
"fedora32",24,"CREATE",11,888755,NA,289
"fedora32",24,"CREATE",12,154929,"neutron",289
"fedora32",24,"CREATE",13,153056,"designate",289
"fedora32",24,"CREATE",14,386303,NA,289
"fedora32",24,"CREATE",15,280319,"designate",289
"fedora32",24,"CREATE",16,378901,NA,289
"fedora32",24,"CREATE",17,262338,NA,289
"fedora32",24,"CREATE",18,451387,NA,289
"fedora32",24,"CREATE",19,283489,"designate",289
"fedora32",24,"CREATE",20,731297,"designate",289
"fedora32",24,"CREATE",21,281689,NA,289
"fedora32",24,"CREATE",22,409078,"designate",289
"fedora32",24,"CREATE",23,268475,"designate",289
"fedora32",24,"CREATE",24,575781,"designate",289
"fedora32",24,"CREATE",25,1261666,"designate",289
"fedora32",24,"CREATE",26,280016,"nova",289
"fedora32",24,"RESUME",155,74654,"designate",289
"fedora32",24,"RESUME",156,714908,"designate",289
"fedora32",24,"RESUME",157,656995,"neutron",289
"fedora32",24,"RESUME",158,543249,"designate",289
"fedora32",24,"SHELVE",285,251797,"nova",289
"fedora32",24,"SHELVE",286,959916,"designate",289
"fedora32",24,"SHELVE",287,251925,"designate",289
"fedora32",24,"SHELVE",288,459354,"designate",289
"fedora32",24,"SHELVE",289,285257,"designate",289
"fedora32",24,"SHELVE",290,585671,NA,289
"fedora32",24,"SHELVE",291,287829,NA,289
"fedora32",24,"SHELVE",292,334061,"designate",289
"fedora32",24,"SHELVE",293,333152,"designate",289
"fedora32",24,"SHELVE",294,269406,"nova",289
"fedora32",24,"SHELVE",295,426568,NA,289
"fedora32",24,"SHELVE",296,238148,"designate",289
"fedora32",24,"SHELVE",297,397996,"neutron",289
"fedora32",24,"SHELVE",298,316120,"nova",289
"fedora32",24,"SHELVE",299,527252,"neutron",289
"fedora32",24,"SHELVE",300,434389,NA,289
"fedora32",24,"SHELVE",301,399545,NA,289
"fedora32",24,"SHELVE",302,291930,"designate",289
"fedora32",24,"SHELVE",303,327873,"nova",289
"fedora32",24,"SHELVE",304,482793,NA,289
"fedora32",24,"SHELVE",305,169085,"designate",289
"fedora32",24,"SHELVE",306,428394,NA,289
"fedora32",24,"SHELVE",307,266356,NA,289
"fedora32",24,"SHELVE",308,402344,"designate",289
"fedora32",24,"SHELVE",309,349307,NA,289
"fedora32",24,"SHELVE",310,389055,NA,289
"fedora32",24,"SHELVE",311,55554,NA,289
"fedora32",24,"SHELVE",312,115793,"designate",289
"fedora32",24,"SHELVE",313,219969,"designate",289
"fedora32",24,"SHELVE",314,88579791,"glance",289
"fedora32",24,"SHELVE",315,110920212,"glance",289
"fedora32",24,"SHELVE",316,109674548,"glance",289
"fedora32",24,"SHELVE",317,106664277,"glance",289
"fedora32",24,"SHELVE",318,115577188,"glance",289
"fedora32",24,"SHELVE",319,113713485,"glance",289
"fedora32",24,"SHELVE",320,113059797,"glance",289
"fedora32",24,"SHELVE",321,81837189,"glance",289
"fedora32",24,"SHELVE",322,1599900,"neutron",289
"fedora32",24,"SHELVE",323,734275,NA,289
"fedora32",24,"STOP",219,290534,NA,289
"fedora32",24,"STOP",220,813317,"designate",289
"fedora32",24,"STOP",221,312538,"designate",289
"fedora32",24,"STOP",222,535771,"designate",289
"fedora32",24,"STOP",223,263167,"neutron",289
"fedora32",24,"STOP",224,337472,NA,289
"fedora32",24,"SUSPEND",87,18412,"designate",289
